author,poem_name,TOTAL_WORD_COUNT,UNIQUE_WORD_COUNT,TYPE_TOKEN_RATIO,AVG_WORD_LENGTH,STD_WORD_LENGTH,HAPAX_LEGOMENA,FUNCTION_WORD_FREQ,STOP_WORD_RATIO,CHAR_UNIGRAM_ENTROPY,CHAR_BIGRAM_ENTROPY,CHAR_TRIGRAM_ENTROPY,CHAR_DIVERSITY,RARE_CHAR_RATIO,AVG_SYLLABLES_PER_WORD,AVG_LINE_LENGTH_WORDS,AVG_STANZA_LENGTH,TOTAL_LINES,ANAPHORA_SCORE,EPIPHORA_SCORE,ENJAMBMENT_RATIO,ESTIMATED_NOUN_COUNT,ESTIMATED_VERB_COUNT,NOUN_VERB_RATIO,READABILITY_SCORE,Emotion,Sentiment
kambar,மிதிலைக் காட்சிப் படலம்(பாலகாண்டம்-1),4630,2910,0.628509719,5.845140389,2.411454203,2249,61,0.016846652,4.692198371,8.019691596,10.49249222,41,0.167719045,3.304967603,4.710071211,983,983,0.094608342,0.105798576,0.542217701,281,61,4.606557377,51.51832461,Devotion,Positive
kambar,வாலி வதைப் படலம்(கிட்கிந்தா காண்டம் - 1),4922,3064,0.622511174,6.0292564,2.414309025,2362,107,0.021332792,4.693305459,7.905774792,10.30359465,41,0.17113988,3.380130028,4.830225711,1019,1019,0.089303238,0.105986261,0.569185476,354,90,3.933333333,67.07692308,Sad,Negative
kambar,விடை கொடுத்த படலம்(யுத்த காண்டம் - பகுதி 5),1058,853,0.806238185,6.597353497,2.283017063,729,14,0.013232514,4.622795033,7.891442718,10.05949349,40,0.174094376,3.745746692,5.877777778,180,180,0.05,0.122222222,0.511111111,63,25,2.52,51.90909091,Happy,Positive
kambar,விராதன் வதைப் படலம்(ஆரணிய காண்டம் - 1),1769,1338,0.756359525,5.854720181,2.334355583,1105,33,0.019219898,4.662556263,7.895792839,10.18838803,40,0.157155059,3.306953081,5.528125,320,320,0.065625,0.075,0.565625,96,19,5.052631579,68.96491228,Sad,Negative
kapilar,inna01,20,15,0.75,5.75,1.444818328,13,0,0.0,4.210502238,5.84244303,6.331114182,23,0.165467626,3.4,5.0,4,4,0.0,0.25,0.0,2,0,0.0,60.0,Sad,Negative
kapilar,inna02,23,18,0.782608696,5.47826087,1.611630695,16,0,0.0,4.301333285,6.006316704,6.570797194,25,0.177631579,3.086956522,5.75,4,4,0.0,0.25,0.25,0,0,0.0,54.0,Sad,Negative
kapilar,inna03,20,15,0.75,6.1,2.11896201,13,0,0.05,4.434580857,5.933810449,6.486566474,27,0.198630137,3.4,5.0,4,4,0.0,0.25,0.0,0,0,0.0,60.0,Sad,Negative
kapilar,inna04,18,14,0.777777778,6.611111111,3.368792875,13,0,0.0,4.442580143,6.003589607,6.477261581,27,0.170212766,3.833333333,4.5,4,4,0.0,0.25,0.0,1,0,0.0,64.0,Sad,Negative
kapilar,inna05,24,20,0.833333333,5.166666667,1.818118686,19,0,0.0,4.418039554,5.954659293,6.453507441,30,0.190789474,2.958333333,6.0,4,4,0.0,0.25,0.0,0,0,0.0,52.0,Sad,Negative
kapilar,inna06,22,18,0.818181818,5.772727273,1.535395069,17,0,0.0,4.401576053,6.03349633,6.584741002,27,0.183006536,3.318181818,5.5,4,4,0.0,0.25,0.0,0,0,0.0,56.0,Sad,Negative
kapilar,inna07,22,16,0.727272727,5.954545455,1.364393729,13,0,0.0,4.337681712,5.863221384,6.342015293,25,0.171974522,3.409090909,5.5,4,4,0.0,0.25,0.0,0,0,0.0,56.0,Sad,Negative
kapilar,inna08,20,14,0.7,6.1,1.972308292,12,0,0.0,4.345737444,5.948918232,6.338516846,26,0.184931507,3.6,5.0,4,4,0.0,0.25,0.0,0,0,0.0,60.0,Sad,Negative
kapilar,inna09,17,13,0.764705882,6.647058824,2.140400635,12,0,0.0,4.261871732,5.705831866,6.187132638,26,0.186567164,3.647058824,4.25,4,4,0.0,0.25,0.0,1,0,0.0,66.0,Sad,Negative
kapilar,inna10,19,15,0.789473684,6.0,1.685854461,14,0,0.0,4.436663263,6.005774633,6.430938194,27,0.233576642,3.368421053,4.75,4,4,0.0,0.25,0.0,0,0,0.0,62.0,Sad,Negative
kapilar,inna11,17,16,0.941176471,6.411764706,1.816875907,15,0,0.0,4.154519103,5.955557662,6.540282933,25,0.181818182,3.352941176,4.25,4,4,0.0,0.0,0.75,0,1,0.0,66.0,Sad,Negative
kapilar,inna12,16,16,1.0,5.75,1.920286437,16,0,0.0,4.426775538,6.150721082,6.543874788,27,0.157894737,3.3125,4.0,4,4,0.0,0.0,0.75,0,0,0.0,68.0,Sad,Negative
